Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Soil_Quality,Year,Month,Day,Temperature_orig,Humidity_orig,Wind_Speed_orig,Soil_Quality_orig
Soybean,Saline,8.0,21,79,11,58.5,55.0,49.50000000000001,14,2021,11,25,21.459269784049763,78.54073021595023,10.754613648860136,13.583333333333334
Sunflower,Peaty,5.5,18,80,11,55.0,49.50000000000001,38.5,24,2021,9,25,18.45069340702609,80.0,11.26777863471052,23.83333333333333
Cotton,Sandy,6.75,13,80,11,55.00000000000001,44.0,36.0,39,2014,2,28,13.35732545768634,80.0,11.315427216429182,39.375
Sugarcane,Loamy,6.5,31,69,7,91.0,72.0,60.0,74,2019,6,1,30.98341198757543,69.01658801242456,7.085181263615528,74.33333333333333
Barley,Sandy,6.75,25,75,8,50.0,40.0,30.0,35,2023,10,10,24.74398068458888,75.25601931541112,8.402784678088308,35.0
Corn,Saline,8.0,20,80,11,78.0,60.50000000000001,45.0,15,2020,11,29,19.882310983941657,80.0,10.57343095581885,15.291666666666666
Rice,Saline,8.0,22,78,6,84.5,66.0,49.50000000000001,17,2014,4,7,22.49107903594234,77.50892096405767,5.882603356347698,16.666666666666668
Potato,Sandy,6.75,23,77,11,55.00000000000001,40.0,27.0,36,2020,3,9,23.34331511993944,76.65668488006057,10.952376771943914,35.58333333333333
Sugarcane,Peaty,5.5,18,80,6,71.5,54.0,42.0,28,2017,2,10,18.063687619388364,80.0,5.713780112419633,27.916666666666668
Sugarcane,Peaty,5.5,24,76,3,71.5,54.0,42.0,28,2015,5,4,24.329783940368056,75.67021605963194,2.789963362284088,27.916666666666668
Soybean,Saline,8.0,36,64,13,58.5,55.0,49.50000000000001,14,2018,8,4,35.61022115768912,64.38977884231088,13.342255789740978,13.583333333333334
Potato,Loamy,6.5,16,80,8,77.0,60.0,45.0,61,2014,11,15,16.306306373475362,80.0,8.118916444508816,60.66666666666666
Sugarcane,Loamy,6.5,16,80,11,91.0,72.0,60.0,74,2020,12,31,16.27917446825464,80.0,11.470162538447264,74.33333333333333
Cotton,Sandy,6.75,12,80,12,55.00000000000001,44.0,36.0,39,2017,9,10,11.996053141031886,80.0,11.886149445474471,39.375
Wheat,Clay,6.25,15,80,8,66.0,50.0,36.0,44,2022,1,12,15.064117040289124,80.0,7.511245554547238,44.33333333333333
Corn,Saline,8.0,32,68,10,78.0,60.50000000000001,45.0,15,2021,8,18,31.71861879298317,68.28138120701682,10.442981842330743,15.291666666666666
Sunflower,Loamy,6.5,30,70,8,70.0,66.0,55.00000000000001,64,2018,6,14,30.17512593484216,69.82487406515784,8.437425893770614,63.66666666666666
Corn,Peaty,5.5,16,80,12,66.0,49.50000000000001,35.0,25,2015,1,27,16.309286036228627,80.0,12.470151787272634,25.08333333333333
Potato,Clay,6.25,27,73,16,66.0,50.0,36.0,44,2020,7,15,27.13776574999257,72.86223425000742,15.62085487503915,44.33333333333333
Sunflower,Peaty,5.5,13,80,7,55.0,49.50000000000001,38.5,24,2020,10,10,12.916527856821244,80.0,6.568640518680179,23.83333333333333
Sunflower,Peaty,5.5,20,80,15,55.0,49.50000000000001,38.5,24,2018,3,4,19.924745674815863,80.0,14.671113408953172,23.83333333333333
Sunflower,Saline,8.0,13,80,13,65.0,60.50000000000001,49.50000000000001,15,2022,9,13,12.763220206415976,80.0,12.570784280689768,14.583333333333334
Wheat,Saline,8.0,32,68,12,71.5,55.0,40.5,14,2015,8,28,32.32326965020922,67.67673034979077,12.073214423314344,13.916666666666666
Soybean,Sandy,6.75,34,66,7,45.0,40.0,33.0,34,2014,8,20,33.79664221249875,66.20335778750125,7.453911103670435,34.41666666666667
Sunflower,Saline,8.0,15,80,9,65.0,60.50000000000001,49.50000000000001,15,2014,10,10,15.113179412581449,80.0,9.216155446340895,14.583333333333334
Tomato,Saline,8.0,21,79,10,65.0,49.5,45.0,13,2021,3,17,20.644361472684498,79.3556385273155,9.587550732399489,13.291666666666666
Cotton,Clay,6.25,20,80,8,66.0,55.00000000000001,48.0,49,2016,10,16,19.66113640509824,80.0,7.755058065501226,49.29166666666667
Wheat,Saline,8.0,9,80,14,71.5,55.0,40.5,14,2018,1,5,8.799308278253278,80.0,14.258088757487862,13.916666666666666
Barley,Clay,6.25,37,63,12,60.0,50.0,40.0,44,2014,7,16,36.513138157649074,63.486861842350926,12.059703240259529,43.75
Barley,Saline,8.0,17,80,13,65.0,55.0,45.0,14,2014,3,2,17.21618327060638,80.0,12.861015034497342,13.75
Soybean,Sandy,6.75,24,76,13,45.0,40.0,33.0,34,2018,10,13,23.673804169457668,76.32619583054233,12.665957561366938,34.41666666666667
Sugarcane,Saline,8.0,32,68,11,84.5,66.0,54.0,17,2016,6,19,31.77239900304106,68.22760099695894,11.215014147091344,17.041666666666668
Rice,Sandy,6.75,21,79,8,65.0,48.0,33.0,43,2016,5,3,20.886535339756065,79.11346466024393,8.1679783538992,42.58333333333333
Barley,Loamy,6.5,13,80,12,70.0,60.0,50.0,60,2022,2,9,13.182714203112464,80.0,11.597133279662064,60.0
Potato,Sandy,6.75,23,77,9,55.00000000000001,40.0,27.0,36,2020,4,19,22.77984954612784,77.22015045387217,9.303441444274036,35.58333333333333
Corn,Sandy,6.75,31,69,11,60.0,44.0,30.0,39,2020,8,15,31.251718225186213,68.74828177481379,11.493368316100929,39.08333333333333
Tomato,Clay,6.25,9,80,7,60.0,45.0,40.0,42,2022,1,15,9.086953462404988,80.0,7.381954835867457,42.29166666666667
Wheat,Peaty,5.5,29,71,7,60.50000000000001,45.0,31.5,23,2020,3,11,29.06938142874376,70.93061857125625,7.234757164228434,22.83333333333333
Tomato,Clay,6.25,25,75,12,60.0,45.0,40.0,42,2016,4,28,25.09593131606941,74.90406868393059,12.383080485875109,42.29166666666667
Cotton,Sandy,6.75,25,75,4,55.00000000000001,44.0,36.0,39,2017,4,4,24.890889363553374,75.10911063644663,3.8548063906496033,39.375
Soybean,Clay,6.25,32,68,10,54.0,50.0,44.0,43,2015,4,6,32.02812560297573,67.97187439702427,9.817822283683498,43.16666666666667
Sunflower,Sandy,6.75,23,77,9,50.0,44.0,33.0,37,2018,4,7,22.58424424656392,77.41575575343609,9.342280433874636,37.04166666666667
Rice,Saline,8.0,17,80,9,84.5,66.0,49.50000000000001,17,2015,2,2,16.540568583214956,80.0,8.591242845689855,16.666666666666668
Barley,Loamy,6.5,28,72,13,70.0,60.0,50.0,60,2014,9,6,28.37668257967038,71.62331742032961,13.495640240541023,60.0
Sunflower,Peaty,5.5,45,55,13,55.0,49.50000000000001,38.5,24,2015,8,16,45.29574096376254,54.70425903623746,13.102680022014288,23.83333333333333
Rice,Clay,6.25,38,62,9,78.0,60.0,44.0,53,2023,8,10,37.97694074948351,62.02305925051649,9.122394414536066,53.08333333333333
Rice,Saline,8.0,19,80,13,84.5,66.0,49.50000000000001,17,2023,11,10,18.72662486871966,80.0,12.779694408050572,16.666666666666668
Soybean,Sandy,6.75,21,79,8,45.0,40.0,33.0,34,2022,9,2,21.27995936868235,78.72004063131766,7.506617882499095,34.41666666666667
Sunflower,Sandy,6.75,25,75,9,50.0,44.0,33.0,37,2015,10,29,25.11161612059457,74.88838387940542,8.949615485447316,37.04166666666667
Sugarcane,Clay,6.25,22,78,12,78.0,60.0,48.0,54,2021,10,28,22.394698481877,77.60530151812301,11.733061460583126,54.25
Barley,Peaty,5.5,27,73,9,55.0,45.0,35.0,22,2018,8,7,26.982825335937765,73.01717466406224,8.501515619874056,22.5
Soybean,Peaty,5.5,34,66,10,49.5,45.0,38.5,22,2019,8,9,34.42096775403371,65.57903224596629,10.232167287362223,22.166666666666668
Wheat,Saline,8.0,31,69,10,71.5,55.0,40.5,14,2021,4,13,30.519139198417136,69.48086080158286,10.076363337466756,13.916666666666666
Cotton,Clay,6.25,17,80,11,66.0,55.00000000000001,48.0,49,2017,11,26,17.263569182626217,80.0,11.39940206218262,49.29166666666667
Potato,Sandy,6.75,8,80,16,55.00000000000001,40.0,27.0,36,2018,1,5,8.33894889897971,80.0,15.541981411633063,35.58333333333333
Rice,Loamy,6.5,35,65,8,91.0,72.0,55.00000000000001,73,2019,8,18,35.1957766331387,64.8042233668613,8.0991644267662,72.66666666666667
Potato,Sandy,6.75,36,64,12,55.00000000000001,40.0,27.0,36,2023,7,7,35.99948665651325,64.00051334348674,12.306390403616156,35.58333333333333
Cotton,Sandy,6.75,16,80,9,55.00000000000001,44.0,36.0,39,2023,3,1,16.4255802579126,80.0,8.517867867041893,39.375
Sugarcane,Peaty,5.5,37,63,9,71.5,54.0,42.0,28,2014,7,9,37.1121748645072,62.8878251354928,8.601434164161331,27.916666666666668
Sugarcane,Peaty,5.5,34,66,9,71.5,54.0,42.0,28,2015,5,15,33.65575290432237,66.34424709567763,9.312788070299492,27.916666666666668
Soybean,Saline,8.0,40,60,9,58.5,55.0,49.50000000000001,14,2014,7,26,40.07968611781778,59.92031388218222,8.789860762093952,13.583333333333334
Soybean,Peaty,5.5,22,78,15,49.5,45.0,38.5,22,2019,3,29,21.93812118083349,78.06187881916651,14.717562790007763,22.166666666666668
Potato,Loamy,6.5,24,76,17,77.0,60.0,45.0,61,2023,9,2,23.850129640512584,76.14987035948741,17.33320054906379,60.66666666666666
Potato,Saline,8.0,26,74,10,71.5,55.0,40.5,14,2021,3,31,26.002020073256087,73.99797992674391,10.476572222308556,13.916666666666666
Wheat,Sandy,6.75,22,78,10,55.00000000000001,40.0,27.0,36,2022,3,23,21.583437991379125,78.41656200862087,9.548310465144567,35.58333333333333
Barley,Saline,8.0,19,80,15,65.0,55.0,45.0,14,2020,2,24,19.45235202431366,80.0,14.647598371232943,13.75
Sugarcane,Sandy,6.75,32,68,12,65.0,48.0,36.0,43,2021,6,28,32.277436427556545,67.72256357244345,11.775699173435168,43.45833333333333
Cotton,Sandy,6.75,14,80,11,55.00000000000001,44.0,36.0,39,2020,10,8,13.730323270391056,80.0,10.76857908026283,39.375
Wheat,Sandy,6.75,10,80,7,55.00000000000001,40.0,27.0,36,2016,2,16,10.431968964095171,80.0,7.346054139603211,35.58333333333333
Barley,Clay,6.25,23,77,11,60.0,50.0,40.0,44,2020,5,10,23.017832721411803,76.9821672785882,11.138305088718246,43.75
Barley,Saline,8.0,24,76,9,65.0,55.0,45.0,14,2021,4,6,24.47466675558705,75.52533324441295,9.098175396805804,13.75
Sunflower,Sandy,6.75,22,78,8,50.0,44.0,33.0,37,2017,10,28,22.35992478057833,77.64007521942168,8.144067505473027,37.04166666666667
Soybean,Peaty,5.5,22,78,9,49.5,45.0,38.5,22,2021,11,7,22.061216676906994,77.938783323093,9.057440360397663,22.166666666666668
Barley,Clay,6.25,24,76,10,60.0,50.0,40.0,44,2021,3,7,24.084503225660345,75.91549677433966,9.76867929541778,43.75
Cotton,Peaty,5.5,14,80,13,60.50000000000001,49.50000000000001,42.0,25,2015,1,10,14.213836388462878,80.0,12.862292981127926,25.33333333333333
Soybean,Sandy,6.75,26,74,9,45.0,40.0,33.0,34,2016,10,15,26.28296826544787,73.71703173455214,8.715740469577426,34.41666666666667
Soybean,Clay,6.25,25,75,10,54.0,50.0,44.0,43,2015,9,17,24.83667182339084,75.16332817660917,10.427758876286724,43.16666666666667
Wheat,Loamy,6.5,23,77,9,77.0,60.0,45.0,61,2015,3,7,23.203541895863307,76.79645810413669,9.373527565019415,60.66666666666666
Corn,Sandy,6.75,32,68,10,60.0,44.0,30.0,39,2015,3,1,31.614866541727714,68.38513345827229,9.995347609056452,39.08333333333333
Barley,Clay,6.25,17,80,10,60.0,50.0,40.0,44,2019,1,5,16.555679712063203,80.0,10.006780887963972,43.75
Wheat,Loamy,6.5,35,65,10,77.0,60.0,45.0,61,2015,8,19,35.02804391727578,64.97195608272422,10.047988236331683,60.66666666666666
Sugarcane,Clay,6.25,39,61,9,78.0,60.0,48.0,54,2021,8,18,38.80939880771916,61.19060119228084,9.283609275778558,54.25
Rice,Sandy,6.75,39,61,12,65.0,48.0,33.0,43,2018,6,26,38.82421501992245,61.17578498007755,11.549163672063647,42.58333333333333
Sunflower,Loamy,6.5,25,75,10,70.0,66.0,55.00000000000001,64,2022,11,29,25.23250286460468,74.76749713539532,10.055383698833468,63.66666666666666
Sunflower,Clay,6.25,18,80,9,60.0,55.00000000000001,44.0,46,2022,10,25,18.19186133459089,80.0,8.502305674375242,46.375
Sunflower,Sandy,6.75,21,79,9,50.0,44.0,33.0,37,2016,1,31,20.78179560279813,79.21820439720187,9.127309815533575,37.04166666666667
Tomato,Clay,6.25,33,67,9,60.0,45.0,40.0,42,2021,7,29,33.001380156237815,66.99861984376219,8.825250591227032,42.29166666666667
Tomato,Clay,6.25,36,64,14,60.0,45.0,40.0,42,2018,8,13,36.227922993426176,63.772077006573824,14.191111867031408,42.29166666666667
Soybean,Loamy,6.5,18,80,9,63.0,60.0,55.00000000000001,59,2019,12,6,18.21985312826643,80.0,9.242476915021802,59.333333333333336
Potato,Loamy,6.5,16,80,16,77.0,60.0,45.0,61,2023,2,8,16.05297496866593,80.0,16.4269400211995,60.66666666666666
Corn,Saline,8.0,14,80,13,78.0,60.50000000000001,45.0,15,2020,2,9,14.324984737464208,80.0,13.326245201150904,15.291666666666666
Tomato,Peaty,5.5,17,80,6,55.0,40.5,35.0,22,2019,2,23,16.80686803283419,80.0,5.866458588035366,21.75
Tomato,Loamy,6.5,26,74,4,70.0,54.0,50.0,58,2022,7,21,26.256154793569067,73.74384520643093,4.264078387517817,58.0
Barley,Clay,6.25,35,65,10,60.0,50.0,40.0,44,2021,8,15,35.20612202782493,64.79387797217507,9.632445120074362,43.75
Wheat,Sandy,6.75,26,74,13,55.00000000000001,40.0,27.0,36,2022,5,9,25.771371708914195,74.22862829108581,12.672961728342775,35.58333333333333
Rice,Saline,8.0,24,76,12,84.5,66.0,49.50000000000001,17,2019,9,10,23.88153139547966,76.11846860452034,12.254655018050157,16.666666666666668
Wheat,Clay,6.25,40,60,11,66.0,50.0,36.0,44,2018,6,30,39.84188977091696,60.15811022908304,10.645356044485691,44.33333333333333
Rice,Loamy,6.5,34,66,4,91.0,72.0,55.00000000000001,73,2021,6,8,34.02233713018866,65.97766286981134,4.128991880245506,72.66666666666667
Corn,Sandy,6.75,28,72,8,60.0,44.0,30.0,39,2014,11,6,28.44047771806781,71.55952228193217,8.110384458185449,39.08333333333333
Wheat,Peaty,5.5,42,58,12,60.50000000000001,45.0,31.5,23,2019,7,10,42.24585210512948,57.75414789487052,11.556341578920271,22.83333333333333
Soybean,Clay,6.25,29,71,9,54.0,50.0,44.0,43,2018,5,23,29.28329244168017,70.71670755831983,9.483888933406083,43.16666666666667
Cotton,Loamy,6.5,22,78,8,77.0,66.0,60.0,68,2014,11,2,21.973786945539967,78.02621305446003,8.255494141016358,67.66666666666667
Cotton,Loamy,6.5,17,80,4,77.0,66.0,60.0,68,2019,2,18,17.438505747927685,80.0,4.304780460686588,67.66666666666667
Soybean,Saline,8.0,16,80,6,58.5,55.0,49.50000000000001,14,2015,11,14,16.35477658646367,80.0,5.583732797544724,13.583333333333334
Sunflower,Sandy,6.75,18,80,15,50.0,44.0,33.0,37,2022,11,17,18.154263248514813,80.0,14.585702503080933,37.04166666666667
Cotton,Sandy,6.75,12,80,12,55.00000000000001,44.0,36.0,39,2021,12,24,12.102197396280854,80.0,12.365815751551446,39.375
Soybean,Loamy,6.5,24,76,10,63.0,60.0,55.00000000000001,59,2015,5,8,23.84312021254981,76.1568797874502,9.931967423537976,59.333333333333336
Cotton,Saline,8.0,13,80,5,71.5,60.50000000000001,54.0,16,2023,1,22,12.594904717114478,80.0,4.718760405588911,15.5
Rice,Saline,8.0,24,76,14,84.5,66.0,49.50000000000001,17,2022,4,6,23.617264870278245,76.38273512972175,13.524168906104808,16.666666666666668
Potato,Saline,8.0,17,80,10,71.5,55.0,40.5,14,2018,1,27,16.996763393967306,80.0,10.276415228749002,13.916666666666666
Rice,Loamy,6.5,29,71,8,91.0,72.0,55.00000000000001,73,2015,8,31,28.5539183439805,71.4460816560195,8.37110031681336,72.66666666666667
Potato,Clay,6.25,25,75,11,66.0,50.0,36.0,44,2023,7,6,25.495272613737725,74.50472738626227,10.57006114530714,44.33333333333333
Tomato,Sandy,6.75,42,58,5,50.0,36.0,30.0,34,2016,6,16,42.26740446001608,57.73259553998392,5.105621320066948,33.83333333333333
Wheat,Saline,8.0,17,80,7,71.5,55.0,40.5,14,2018,11,12,16.723259311403815,80.0,6.885335918561289,13.916666666666666
Tomato,Clay,6.25,19,80,10,60.0,45.0,40.0,42,2020,9,23,19.46336589267865,80.0,9.903443727765955,42.29166666666667
Cotton,Sandy,6.75,21,79,7,55.00000000000001,44.0,36.0,39,2014,1,19,20.64824742486185,79.35175257513815,6.81922517816164,39.375
Wheat,Saline,8.0,22,78,10,71.5,55.0,40.5,14,2017,4,12,22.26502568194057,77.73497431805943,10.085947362768648,13.916666666666666
Wheat,Loamy,6.5,18,80,10,77.0,60.0,45.0,61,2019,4,27,18.30278262109384,80.0,10.37735673457668,60.66666666666666
Soybean,Saline,8.0,7,80,10,58.5,55.0,49.50000000000001,14,2021,2,10,7.162356840730971,80.0,9.8636210870606,13.583333333333334
Cotton,Peaty,5.5,15,80,7,60.50000000000001,49.50000000000001,42.0,25,2018,9,30,15.127044520580082,80.0,7.30324116667134,25.33333333333333
Sugarcane,Loamy,6.5,28,72,14,91.0,72.0,60.0,74,2020,5,17,27.687814911499203,72.3121850885008,13.891920094981316,74.33333333333333
Barley,Clay,6.25,35,65,9,60.0,50.0,40.0,44,2023,7,25,35.010041938395226,64.98995806160477,8.676001670611997,43.75
Corn,Saline,8.0,27,73,8,78.0,60.50000000000001,45.0,15,2015,10,6,27.362877650954943,72.63712234904506,8.265509130814412,15.291666666666666
Rice,Loamy,6.5,33,67,4,91.0,72.0,55.00000000000001,73,2016,6,4,33.302736420050124,66.69726357994988,3.849567940068014,72.66666666666667
Potato,Peaty,5.5,33,67,10,60.50000000000001,45.0,31.5,23,2021,7,5,32.68701195358605,67.31298804641395,9.795947859342553,22.83333333333333
Sunflower,Sandy,6.75,26,74,9,50.0,44.0,33.0,37,2021,6,27,26.23267840005976,73.76732159994025,8.535092736069082,37.04166666666667
Soybean,Clay,6.25,7,80,11,54.0,50.0,44.0,43,2014,2,2,6.846633162923679,80.0,10.512912914704655,43.16666666666667
Soybean,Peaty,5.5,35,65,11,49.5,45.0,38.5,22,2019,6,9,35.452834791837155,64.54716520816285,10.94209281721001,22.166666666666668
Tomato,Saline,8.0,34,66,11,65.0,49.5,45.0,13,2018,8,7,33.51965783471815,66.48034216528185,10.939164085561204,13.291666666666666
Potato,Loamy,6.5,18,80,10,77.0,60.0,45.0,61,2023,9,24,18.011215337002596,80.0,10.101074748204072,60.66666666666666
Soybean,Saline,8.0,15,80,9,58.5,55.0,49.50000000000001,14,2022,11,22,15.23220365411114,80.0,8.72248891579546,13.583333333333334
Cotton,Loamy,6.5,35,65,10,77.0,66.0,60.0,68,2020,7,27,34.74141352723691,65.25858647276308,9.88850803309837,67.66666666666667
Potato,Clay,6.25,20,80,11,66.0,50.0,36.0,44,2018,10,15,19.580662149324976,80.0,11.223638381509268,44.33333333333333
Wheat,Sandy,6.75,17,80,9,55.00000000000001,40.0,27.0,36,2019,9,24,16.74234177608966,80.0,8.60203649503315,35.58333333333333
Sugarcane,Peaty,5.5,15,80,4,71.5,54.0,42.0,28,2015,1,27,15.33245330700347,80.0,3.8993386364650258,27.916666666666668
Barley,Loamy,6.5,35,65,9,70.0,60.0,50.0,60,2017,6,5,34.86711680268558,65.13288319731441,8.54550043895157,60.0
Sunflower,Saline,8.0,14,80,8,65.0,60.50000000000001,49.50000000000001,15,2019,12,16,13.960087339755024,80.0,7.610214444551248,14.583333333333334
Sugarcane,Sandy,6.75,31,69,7,65.0,48.0,36.0,43,2022,8,27,30.6253715744207,69.3746284255793,6.927289662314174,43.45833333333333
Wheat,Loamy,6.5,31,69,7,77.0,60.0,45.0,61,2020,4,26,30.863236203591164,69.13676379640884,7.184990231734005,60.66666666666666
Tomato,Loamy,6.5,25,75,12,70.0,54.0,50.0,58,2016,3,4,25.230893620063668,74.76910637993633,12.235531296456706,58.0
Potato,Sandy,6.75,28,72,11,55.00000000000001,40.0,27.0,36,2021,11,16,27.72607833450336,72.27392166549664,10.909690991847134,35.58333333333333
Cotton,Loamy,6.5,22,78,3,77.0,66.0,60.0,68,2021,3,3,22.176794719641613,77.8232052803584,3.429693459602662,67.66666666666667
Corn,Clay,6.25,40,60,11,72.0,55.00000000000001,40.0,49,2015,6,23,39.909109722193016,60.09089027780698,10.782429555740794,48.70833333333333
Potato,Clay,6.25,16,80,9,66.0,50.0,36.0,44,2020,4,29,15.959817487689092,80.0,8.980854558378931,44.33333333333333
Rice,Saline,8.0,18,80,5,84.5,66.0,49.50000000000001,17,2022,9,22,17.679727551644923,80.0,5.11035780344544,16.666666666666668
Rice,Loamy,6.5,24,76,9,91.0,72.0,55.00000000000001,73,2015,5,25,23.630037634184784,76.36996236581521,8.772946456555182,72.66666666666667
Tomato,Saline,8.0,29,71,10,65.0,49.5,45.0,13,2018,11,28,29.326066761510635,70.67393323848937,9.969720509461489,13.291666666666666
Sugarcane,Clay,6.25,29,71,7,78.0,60.0,48.0,54,2017,5,23,28.632930759421846,71.36706924057816,7.077012150752497,54.25
Potato,Sandy,6.75,17,80,10,55.00000000000001,40.0,27.0,36,2015,12,3,17.124538162671964,80.0,9.938793678621868,35.58333333333333
Tomato,Clay,6.25,15,80,10,60.0,45.0,40.0,42,2023,12,7,15.22513860374442,80.0,9.54846748845842,42.29166666666667
Corn,Peaty,5.5,42,58,8,66.0,49.50000000000001,35.0,25,2019,8,8,41.87744284386157,58.12255715613843,7.766099902499485,25.08333333333333
Potato,Saline,8.0,27,73,11,71.5,55.0,40.5,14,2020,9,30,26.87605031043429,73.1239496895657,10.651526150456938,13.916666666666666
Corn,Saline,8.0,16,80,13,78.0,60.50000000000001,45.0,15,2019,1,13,16.291967917703058,80.0,13.371302102218753,15.291666666666666
Cotton,Clay,6.25,13,80,15,66.0,55.00000000000001,48.0,49,2016,1,15,13.295304097216173,80.0,15.147176659164296,49.29166666666667
Sugarcane,Saline,8.0,14,80,8,84.5,66.0,54.0,17,2022,12,16,13.664509255015416,80.0,8.002894110192708,17.041666666666668
Sugarcane,Loamy,6.5,32,68,11,91.0,72.0,60.0,74,2014,7,2,32.329496993460175,67.67050300653983,10.633372680347794,74.33333333333333
Soybean,Clay,6.25,22,78,13,54.0,50.0,44.0,43,2019,3,16,21.94244167068372,78.05755832931628,12.844347309686816,43.16666666666667
Barley,Saline,8.0,27,73,9,65.0,55.0,45.0,14,2014,11,15,26.52747933187652,73.47252066812348,9.209333343950394,13.75
Sugarcane,Sandy,6.75,29,71,10,65.0,48.0,36.0,43,2022,5,27,28.63295741629834,71.36704258370166,10.28037540833136,43.45833333333333
Sugarcane,Peaty,5.5,23,77,9,71.5,54.0,42.0,28,2023,10,6,23.265796235973696,76.7342037640263,8.795035141393646,27.916666666666668
Potato,Peaty,5.5,15,80,14,60.50000000000001,45.0,31.5,23,2019,2,10,14.75217572401962,80.0,13.918226429696457,22.83333333333333
Barley,Saline,8.0,15,80,13,65.0,55.0,45.0,14,2022,12,12,14.987101433311084,80.0,13.373171361982203,13.75
Corn,Loamy,6.5,22,78,15,84.0,66.0,50.0,67,2017,4,30,21.609853995316165,78.39014600468383,14.70118284371276,66.66666666666667
Sugarcane,Saline,8.0,26,74,13,84.5,66.0,54.0,17,2022,11,8,26.016993485944774,73.98300651405523,13.198790546458676,17.041666666666668
Soybean,Saline,8.0,15,80,11,58.5,55.0,49.50000000000001,14,2019,2,13,14.699592602482486,80.0,10.585646740065616,13.583333333333334
Soybean,Loamy,6.5,24,76,13,63.0,60.0,55.00000000000001,59,2023,5,6,23.926913320940088,76.07308667905991,13.249694261426384,59.333333333333336
Barley,Sandy,6.75,16,80,9,50.0,40.0,30.0,35,2017,10,24,16.464518510264533,80.0,8.630593746085456,35.0
Potato,Loamy,6.5,31,69,11,77.0,60.0,45.0,61,2018,6,12,31.124952092170886,68.87504790782911,11.458495712813544,60.66666666666666
Barley,Peaty,5.5,30,70,10,55.0,45.0,35.0,22,2015,3,28,29.7793030326249,70.2206969673751,9.543592339619275,22.5
Corn,Loamy,6.5,39,61,5,84.0,66.0,50.0,67,2015,7,8,39.15682127237995,60.84317872762005,4.7817776027616565,66.66666666666667
Cotton,Loamy,6.5,39,61,13,77.0,66.0,60.0,68,2017,6,10,39.48801361627525,60.51198638372475,13.338268903232258,67.66666666666667
Soybean,Loamy,6.5,17,80,13,63.0,60.0,55.00000000000001,59,2023,12,18,17.238191680777263,80.0,12.572198824773364,59.333333333333336
Sugarcane,Sandy,6.75,39,61,8,65.0,48.0,36.0,43,2015,8,31,39.39658645744382,60.60341354255618,8.081254797642254,43.45833333333333
Potato,Peaty,5.5,20,80,12,60.50000000000001,45.0,31.5,23,2019,4,1,20.08736700645388,79.91263299354613,11.823081135188875,22.83333333333333
Soybean,Peaty,5.5,6,80,9,49.5,45.0,38.5,22,2016,2,21,5.902734844409455,80.0,8.503521717227738,22.166666666666668
Barley,Sandy,6.75,31,69,13,50.0,40.0,30.0,35,2020,11,8,30.94869444907149,69.0513055509285,12.50438669923075,35.0
Tomato,Loamy,6.5,21,79,8,70.0,54.0,50.0,58,2017,9,13,21.453104858527464,78.54689514147253,8.43161018747703,58.0
Sunflower,Clay,6.25,16,80,5,60.0,55.00000000000001,44.0,46,2019,2,27,15.721651710117673,80.0,4.9566106272236,46.375
Sugarcane,Saline,8.0,23,77,9,84.5,66.0,54.0,17,2023,2,6,22.541126655324625,77.45887334467537,8.795194584480937,17.041666666666668
Cotton,Saline,8.0,41,59,9,71.5,60.50000000000001,54.0,16,2022,8,17,41.09266533686117,58.90733466313883,9.304200392089705,15.5
Sunflower,Saline,8.0,38,62,7,65.0,60.50000000000001,49.50000000000001,15,2019,6,22,38.03463569330614,61.96536430669386,7.463247851429972,14.583333333333334
Rice,Peaty,5.5,16,80,8,71.5,54.0,38.5,27,2017,2,6,16.41501862920831,80.0,8.292915097107059,27.33333333333333
Cotton,Sandy,6.75,15,80,10,55.00000000000001,44.0,36.0,39,2014,1,1,14.826739078862005,80.0,10.366657495668038,39.375
Sunflower,Loamy,6.5,33,67,15,70.0,66.0,55.00000000000001,64,2022,8,18,32.82880526085424,67.17119473914576,15.40865058875286,63.66666666666666
Sunflower,Peaty,5.5,14,80,12,55.0,49.50000000000001,38.5,24,2017,2,5,13.876824611969647,80.0,11.6437116812499,23.83333333333333
Barley,Saline,8.0,20,80,11,65.0,55.0,45.0,14,2014,10,31,19.669192230972087,80.0,11.16144494818272,13.75
Potato,Sandy,6.75,17,80,10,55.00000000000001,40.0,27.0,36,2021,12,27,17.217054198016623,80.0,10.178612911102768,35.58333333333333
Sugarcane,Sandy,6.75,25,75,11,65.0,48.0,36.0,43,2014,3,6,24.698555043041942,75.30144495695805,11.36438550892714,43.45833333333333
Potato,Sandy,6.75,33,67,9,55.00000000000001,40.0,27.0,36,2016,7,16,33.25046566855637,66.74953433144363,8.873066136816076,35.58333333333333
Rice,Clay,6.25,26,74,13,78.0,60.0,44.0,53,2020,8,18,26.057045516635323,73.94295448336467,12.63587131639808,53.08333333333333
Wheat,Loamy,6.5,39,61,7,77.0,60.0,45.0,61,2018,8,14,39.33410504276546,60.66589495723454,6.998664639519388,60.66666666666666
Sunflower,Saline,8.0,32,68,6,65.0,60.50000000000001,49.50000000000001,15,2022,7,31,32.49925138609922,67.50074861390078,5.865868179420006,14.583333333333334
Tomato,Clay,6.25,16,80,12,60.0,45.0,40.0,42,2017,1,2,16.376006182691206,80.0,11.650430415180328,42.29166666666667
